ty,mx,mn,hr,fuel,tank,h2p,sup,inv,fom,vom,life
Natural Gas Fuel Boiler 76% AFUE,12.0106491990552,0,1.3158,G,0,0,0,7530.23253012047,95,0,20
Natural Gas Fuel Boiler 80% AFUE,12.0106491990552,0,1.25,G,0,0,0,7530.23253012047,95,0,20
Natural Gas Fuel Boiler 90% AFUE,12.0106491990552,0,1.1111,G,0,0,0,8264.23253012048,95,0,20
Natural Gas Fuel Furnace 60% AFUE,12.0106491990552,0,1.6667,G,0,0,0,2148.23253012047,40,0,20
Natural Gas Fuel Furnace 76% AFUE,12.0106491990552,0,1.3158,G,0,0,0,2148.23253012047,40,0,20
Natural Gas Fuel Furnace 80% AFUE,12.0106491990552,0,1.25,G,0,0,0,2148.23253012047,40,0,20
Natural Gas Fuel Furnace 92.5% AFUE,12.0106491990552,0,1.0811,G,0,0,0,2736.23253012047,40,0,20
Natural Gas Fuel Furnace 99% AFUE,12.0106491990552,0,1.0101,G,0,0,0,3188.23253012047,40,0,20
Natural Gas Fuel Wall/Floor Furnace 60% AFUE,12.0106491990552,0,1.6667,G,0,0,0,2148.23253012047,40,0,20
Natural Gas Fuel Wall/Floor Furnace 68% AFUE,12.0106491990552,0,1.4706,G,0,0,0,2148.23253012047,40,0,20
Fuel Oil Fuel Boiler 76% AFUE,12.0106491990552,0,1.3158,L,0,0,0,9577.23253012048,140,0,20
Fuel Oil Fuel Boiler 80% AFUE,12.0106491990552,0,1.25,L,0,0,0,9577.23253012048,140,0,20
Fuel Oil Fuel Boiler 90% AFUE,12.0106491990552,0,1.1111,L,0,0,0,12018.2325301204,150,0,20
Fuel Oil Furnace 60% AFUE,12.0106491990552,0,1.6667,L,0,0,0,4327.23253012047,75,0,20
Fuel Oil Fuel Furnace 76% AFUE,12.0106491990552,0,1.3158,L,0,0,0,4327.23253012047,75,0,25
Fuel Oil Fuel Furnace 80% AFUE,12.0106491990552,0,1.25,L,0,0,0,4327.23253012047,75,0,25
Fuel Oil Fuel Furnace 92.5% AFUE,12.0106491990552,0,1.0811,L,0,0,0,6768.23253012047,150,0,25
Fuel Oil Fuel Wall/Floor Furnace 60% AFUE,12.0106491990552,0,1.6667,L,0,0,0,4327.23253012047,75,0,25
Fuel Oil Fuel Wall/Floor Furnace 68% AFUE,12.0106491990552,0,1.4706,L,0,0,0,4327.23253012047,75,0,25
Propane Fuel Boiler 76% AFUE,12.0106491990552,0,1.3158,L,0,0,0,7530.23253012047,95,0,20
Propane Fuel Boiler 80% AFUE,12.0106491990552,0,1.25,L,0,0,0,7530.23253012047,95,0,20
Propane Fuel Boiler 90% AFUE,12.0106491990552,0,1.1111,L,0,0,0,8264.23253012048,95,0,20
Propane Fuel Furnace 60% AFUE,12.0106491990552,0,1.6667,L,0,0,0,2148.23253012047,40,0,20
Propane Fuel Furnace 76% AFUE,12.0106491990552,0,1.3158,L,0,0,0,2148.23253012047,40,0,20
Propane Fuel Furnace 80% AFUE,12.0106491990552,0,1.25,L,0,0,0,2148.23253012047,40,0,20
Propane Fuel Furnace 92.5% AFUE,12.0106491990552,0,1.0811,L,0,0,0,2736.23253012047,40,0,20
Propane Fuel Wall/Floor Furnace 60% AFUE,12.0106491990552,0,1.6667,L,0,0,0,2148.23253012047,40,0,20
Propane Fuel Wall/Floor Furnace 68% AFUE,12.0106491990552,0,1.4706,L,0,0,0,2148.23253012047,40,0,20
,0,0,0,0,0,0,0,0,0,0,0
